,Ticker,Datetime,Dividends,Close
17,TRXF11,2021-07,0.7,103.25
18,TRXF11,2021-08,0.7,102.05
19,TRXF11,2021-09,0.72,101.54
20,TRXF11,2021-10,0.77,100.0
21,TRXF11,2021-11,0.8,97.75
22,TRXF11,2021-12,0.9,101.07
23,TRXF11,2022-01,0.8,101.0
24,TRXF11,2022-02,0.8,100.84
25,TRXF11,2022-03,0.8,100.33
26,TRXF11,2022-04,0.8,99.92
27,TRXF11,2022-05,0.85,98.8
28,TRXF11,2022-06,1.05,98.38
29,TRXF11,2022-07,0.85,103.2
30,TRXF11,2022-08,0.85,110.08
31,TRXF11,2022-09,0.85,115.12
32,TRXF11,2022-10,0.85,109.4
33,TRXF11,2022-11,0.85,105.03
34,TRXF11,2022-12,1.2,105.15
0,URPR11,2020-03,0.19,-1.0
1,URPR11,2020-04,0.62,-1.0
2,URPR11,2020-05,0.78,-1.0
3,URPR11,2020-06,1.56,-1.0
4,URPR11,2020-07,0.81,-1.0
5,URPR11,2020-08,1.35,115.0
6,URPR11,2020-09,2.15,113.0
7,URPR11,2020-10,3.24,132.8
8,URPR11,2020-11,2.04,140.0
9,URPR11,2020-12,2.01,131.96
10,URPR11,2021-01,2.25,132.05
11,URPR11,2021-02,2.09,128.1
12,URPR11,2021-03,2.87,132.86
13,URPR11,2021-04,1.19,130.34
